step,active_vehicles,waiting_time,halting,speed,reward
484,927,5642.0,79,6.969272960348465,-106.0103150216331
485,927,5674.0,80,6.964436506351715,-106.81792396755304
486,927,5753.0,80,6.965506203948223,-107.83693097394743
487,927,5734.0,79,6.965591231266551,-107.14207364748002
488,927,5765.0,79,6.966380171737606,-107.45903672135346
489,926,5844.0,80,6.962903473258989,-108.65088489507058
490,926,5873.0,79,6.964785855179818,-108.55035540775467
491,926,5904.0,80,6.962685886685433,-109.27850052601977
492,926,5933.0,78,6.96343593495093,-108.48248790871827
493,926,5963.0,77,6.9635119389888125,-108.4084784529623
494,926,6041.0,78,6.9614256752547234,-109.64589404972102
495,926,6121.0,80,6.962285651569697,-111.50707841045896
496,926,6200.0,80,6.961437113932801,-112.26132448862896
497,925,6281.0,81,6.960292821057721,-113.56580820323687
498,925,6362.0,81,6.961948328001001,-114.43323047078323
499,925,6444.0,82,6.960306469393434,-115.68575808597738
500,925,6528.0,84,6.960273394606557,-117.56012295201418
501,925,6611.0,84,6.958501255424734,-118.35326733255887
502,925,6696.0,85,6.9606159964195315,-119.78366847740416
503,925,6781.0,85,6.9601751121067545,-120.58281558034184
504,925,6867.0,86,6.957358165534005,-121.89685117844591
505,925,6952.0,86,6.958032908448294,-122.81764474270764
506,925,7039.0,87,6.957233332286668,-124.16197014175317
507,925,7128.0,89,6.953186483021088,-125.98118232937856
508,925,7216.0,89,6.952432007155972,-126.9261916688293
509,925,7305.0,89,6.951190930748848,-127.80774493877936
510,925,7395.0,91,6.952071270883842,-129.90679337446892
511,925,7486.0,91,6.951028757466912,-130.77199254792288
512,925,7578.0,92,6.95007184647225,-132.19410628061271
513,925,7671.0,93,6.947873261457249,-133.59970564540163
514,924,7764.0,93,6.9479732684510065,-134.57616453345554
515,924,7859.0,95,6.947400790801282,-136.51378411198783
516,924,7955.0,96,6.945892051122094,-137.95450439679337
517,924,8049.0,95,6.945825377869671,-138.42305834664512
518,924,8145.0,96,6.945372168487941,-139.87559405135465
519,924,8241.0,96,6.9453349029569,-140.84375574425033
520,924,8337.0,96,6.945232822758472,-141.80252355446532
521,924,8433.0,96,6.945156614917654,-142.763060856214
522,924,8529.0,96,6.9450702251762,-143.72289061318224
523,924,8625.0,96,6.945035995448607,-144.68392028495492
524,924,8721.0,96,6.945014503242653,-145.64417627467452
525,924,8817.0,96,6.945009068933286,-146.60449090983587
526,924,8913.0,96,6.945003995624312,-147.564499798148
527,924,9009.0,96,6.94500184998159,-148.52455756685583
528,924,9105.0,96,6.9450005235028165,-149.4845739930108
529,923,9201.0,96,6.945001212189268,-150.44461296366944
530,923,9297.0,96,6.945001266501935,-151.40460059759204
531,923,9393.0,96,6.945001352629948,-152.36460118565202
532,923,9489.0,96,6.945001370306624,-153.32459984694643
533,923,9585.0,96,6.945000998697207,-154.2845924049924
